,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
410,2314,台揚,"1,079,878",516,"25,669,397",23.70,24.00,23.60,23.85,+,0.2,23.85,15,23.90,32,0.00
411,2316,楠梓電,"716,746",434,"22,121,352",31.00,31.05,30.65,31.05,+,0.05,31.00,10,31.05,11,13.92
412,2317,鴻海,"20,784,040","10,005","1,628,079,884",78.60,79.10,78.00,78.10,-,0.7,78.10,411,78.20,71,10.47
413,2321,東訊,"3,252,996",589,"11,807,435",3.24,3.96,3.24,3.96,+,0.36,3.96,392,--,0,0.00
414,2323,中環,"4,576,442","1,002","37,342,875",8.11,8.23,8.11,8.13,+,0.02,8.13,17,8.14,8,0.00
415,2324,仁寶,"5,990,291","2,489","116,046,327",19.35,19.45,19.30,19.40,+,0.05,19.40,34,19.45,527,13.20
416,2327,國巨,"7,569,951","5,924","2,715,956,954",352.00,363.00,352.00,357.50,+,4.5,357.50,24,358.00,11,20.53
417,2328,廣宇,"1,038,488",386,"18,759,500",18.05,18.15,18.00,18.00, ,0.0,18.00,187,18.05,22,12.24
418,2329,華泰,"2,155,483",508,"24,032,105",11.00,11.25,11.00,11.15,+,0.15,11.10,107,11.15,75,223.00
419,2330,台積電,"44,420,506","26,718","20,006,793,320",453.00,455.00,446.50,448.50,X,0.0,448.00,142,448.50,121,25.57
420,2331,精英,"2,139,030","1,409","26,988,320",12.50,12.75,12.50,12.70,+,0.2,12.60,29,12.70,54,26.46
421,2332,友訊,"4,463,962","1,476","82,823,393",18.45,18.75,18.40,18.55,+,0.25,18.55,42,18.60,361,0.00
422,2337,旺宏,"17,426,533","6,869","562,362,182",32.15,32.50,32.05,32.45,+,0.05,32.40,32,32.45,331,11.67
423,2338,光罩,"1,456,037",702,"42,682,624",29.45,29.65,29.20,29.25,-,0.15,29.25,63,29.30,5,36.56
424,2340,光磊,"43,395,256","17,267","1,068,191,018",24.85,25.45,23.90,24.45,-,0.45,24.40,179,24.45,56,18.11
425,2342,茂矽,"2,598,281","1,345","77,008,844",29.20,30.00,29.10,29.75,+,0.7,29.70,13,29.75,35,0.00
426,2344,華邦電,"53,426,673","10,688","733,467,828",13.50,13.90,13.50,13.80,+,0.25,13.80,28,13.85,"2,562",55.20
427,2345,智邦,"3,014,589","2,144","655,601,313",218.00,220.00,216.00,216.00,-,3.5,216.00,233,217.00,3,24.08
428,2347,聯強,"2,380,266","1,365","100,753,852",42.55,42.75,42.15,42.35,-,0.35,42.35,5,42.40,39,9.89
429,2348,海悅,"312,116",233,"29,470,589",93.90,95.40,93.50,94.00,+,0.8,93.90,2,94.10,4,9.88
430,2349,錸德,"9,360,138","2,281","58,273,303",6.25,6.30,6.18,6.18,-,0.11,6.18,215,6.19,72,0.00
431,2351,順德,"1,642,836","1,160","95,449,420",58.50,59.40,57.30,58.00,-,0.7,57.90,4,58.00,236,35.37
432,2352,佳世達,"6,257,592","2,504","123,864,774",19.85,20.05,19.60,19.75,-,0.25,19.70,50,19.75,33,13.72
433,2353,宏碁,"19,146,244","6,375","493,159,131",25.70,26.00,25.40,25.70,+,0.05,25.70,23,25.75,155,23.58
434,2354,鴻準,"1,030,427",810,"54,540,672",53.00,53.20,52.70,52.90,-,0.1,52.80,76,52.90,9,11.65
