開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元)
2017/12/26,特昇-KY,6616.0,櫃檯買賣,第一上櫃初上櫃,美國標,"1,889",15,2.0,259,50.0,400.0,2018/1/10,永豐金,"39,795,550",4.5,520,"10,339",20,26.8,21.07,18.0
2017/12/20,寬宏,6596.0,櫃檯買賣,初上櫃,美國標,"1,512",55.5,1.0,217,50.0,400.0,2018/1/4,福邦,"95,009,990",4.5,357,"2,404",59.7,70.1,62.84,62.84
2017/12/20,雙鍵,4764.0,集中交易市場,初上市,美國標,"4,385",43.24,2.0,602,50.0,400.0,2018/1/4,永豐金,"244,875,340",4.5,"1,057","20,466",55,63.5,55.84,48.0
2017/12/14,朋億,6613.0,櫃檯買賣,初上櫃,美國標,"2,924",120.54,1.0,420,50.0,400.0,2017/12/28,凱基,"472,506,730",4.5,"1,528","10,908",156,180,161.6,135.0
2017/11/27,維田,6570.0,櫃檯買賣,初上櫃,美國標,"1,671",22.5,2.0,230,50.0,400.0,2017/12/11,中國信託,"51,600,950",4.5,749,"10,577",29.8,81.8,30.88,25.2
2017/11/27,東哥遊艇,8478.0,集中交易市場,初上市,美國標,"7,596",66.18,2.0,"1,089",50.0,400.0,2017/12/11,凱基,"609,187,900",4.5,951,"12,095",75.5,110,80.2,72.8
2017/11/21,訊映,4155.0,集中交易市場,初上市,美國標,"5,927",20,1.0,750,50.0,400.0,2017/12/5,富邦,"168,664,990",4.5,"1,263","36,834",27.6,31.5,28.46,22.0
2017/11/10,鼎炫-KY,8499.0,集中交易市場,第一上市初上市,美國標,"4,139",80,2.0,595,50.0,400.0,2017/11/24,凱基,"451,000,270",4.5,"1,241","15,629",104,141,108.96,96.0
2017/11/9,益張,8342.0,櫃檯買賣,初上櫃,美國標,"2,040",36.61,2.0,265,50.0,400.0,2017/11/23,台新,"94,147,800",4.5,865,"11,546",45,53,46.15,41.0
2017/10/20,台灣銘板,6593.0,櫃檯買賣,初上櫃,美國標,"1,205",27.03,2.0,160,50.0,400.0,2017/11/3,台新,"43,064,120",4.0,628,"11,187",33.8,38.1,35.74,30.0
2017/10/17,勝品,6556.0,櫃檯買賣,初上櫃,美國標,"1,440",27,1.0,190,50.0,400.0,2017/10/31,凱基,"54,226,100",4.5,735,"12,553",35.66,45,37.66,29.7
2017/9/18,精測,6510.0,櫃檯買賣,上櫃增資,美國標,"1,530","1,267.33",1.0,153,50.0,400.0,2017/9/27,元大,"1,772,575,830",1.0,216,"1,381","1,267.33","1,320","1,283.55",1267.33
2017/9/13,宏旭-KY,2243.0,集中交易市場,第一上市初上市,美國標,"3,327",30,1.0,416,50.0,400.0,2017/9/27,富邦,"117,189,940",4.5,580,"12,150",33.2,50,35.22,33.0
2017/9/13,漢來美食,1268.0,櫃檯買賣,初上櫃,美國標,"2,340",125,1.0,292,50.0,400.0,2017/9/27,凱基,"385,598,290",4.5,"1,000","9,163",160.1,200,164.79,150.0
2017/9/13,廣錠,6441.0,櫃檯買賣,初上櫃,美國標,"2,336",42.02,2.0,291,50.0,400.0,2017/9/27,富邦,"139,853,630",4.5,899,"12,181",57.2,152.88,59.87,50.0
2017/9/12,虹揚-KY,6573.0,集中交易市場,第一上市初上市,美國標,"5,099",30,2.0,637,50.0,400.0,2017/9/26,康和,"182,798,620",4.0,640,"15,988",33.68,51.5,35.85,33.6
2017/9/12,泓瀚科技,4741.0,櫃檯買賣,初上櫃,美國標,"2,628",48,2.0,328,50.0,400.0,2017/9/26,國泰,"171,926,220",4.0,775,"9,612",61.4,80,65.42,55.2
2017/8/21,霈方,6574.0,櫃檯買賣,初上櫃,美國標,"1,354",109.4,2.0,169,50.0,400.0,2017/9/4,永豐金,"176,051,790",4.5,484,"3,542",123.44,145.98,130.02,128.0
2017/8/7,穎漢,4562.0,集中交易市場,初上市,美國標,"5,404",36.36,2.0,675,50.0,400.0,2017/8/21,台新,"237,593,080",4.5,476,"7,011",39.2,110.8,43.97,40.0
2017/8/7,研揚,6579.0,集中交易市場,初上市,美國標,"7,344",74.58,2.0,918,50.0,400.0,2017/8/21,元大,"784,671,580",4.5,"1,258","16,701",100,132.25,106.85,88.0
2017/8/3,泰福-KY,6541.0,集中交易市場,第一上市初上市,美國標,"16,560",77,2.0,"2,070",50.0,400.0,2017/8/17,元富,0,4.5,623,"14,177",0,0,0,0.0
2017/6/12,日成-KY,4807.0,集中交易市場,第一上市初上市,美國標,"3,053",60,2.0,381,50.0,400.0,2017/6/26,永豐金,"219,014,060",5.0,812,"7,876",68.8,86.85,71.74,66.0
2017/6/1,申豐,6582.0,集中交易市場,初上市,美國標,"7,142",60.18,2.0,892,50.0,400.0,2017/6/14,凱基,"534,460,870",4.0,"1,165","16,968",71,84.85,74.83,68.0
2017/5/24,全宇-KY,4148.0,集中交易市場,第一上市初上市,美國標,"5,123",50,2.0,640,50.0,400.0,2017/6/8,永豐金,"307,848,440",4.5,771,"11,865",55.52,100,60.09,55.0
2017/5/24,集雅社,2937.0,櫃檯買賣,初上櫃,美國標,"1,945",21.5,2.0,243,50.0,400.0,2017/6/8,第一金,"57,706,490",3.0,694,"10,950",28.5,62.3,29.67,25.16
2017/5/16,亞獅康-KY,6497.0,櫃檯買賣,第一上櫃初上櫃,美國標,"10,409",64,1.0,"1,301",50.0,400.0,2017/6/1,凱基,"717,437,550",3.0,638,"15,144",64,166,68.92,68.92
2017/4/20,王道,2897.0,集中交易市場,初上市,美國標,"16,000",5.98,5.0,"2,000",50.0,500.0,2017/5/5,元富,"130,436,410",3.0,"1,306","123,963",8.02,9.3,8.15,7.0
2017/4/13,三貝德,8489.0,櫃檯買賣,初上櫃,美國標,"1,700",70.83,2.0,212,50.0,500.0,2017/4/27,凱基,"243,731,170",4.0,"1,120","8,027",140.1,206,143.37,85.0
2017/4/11,迅得,6438.0,櫃檯買賣,初上櫃,美國標,"4,488",35,2.0,561,50.0,500.0,2017/4/25,台新,"229,715,300",4.0,"1,831","28,338",50.45,57,51.18,42.0
2017/4/10,生華科,6492.0,櫃檯買賣,初上櫃,美國標,"6,120",135,2.0,765,50.0,500.0,2017/4/24,永豐金,"1,038,479,180",4.0,"1,180","13,583",165.33,202,169.69,162.0
2017/4/7,世豐螺絲,2065.0,櫃檯買賣,初上櫃,美國標,"2,032",28,2.0,253,50.0,500.0,2017/4/21,富邦,"92,698,060",4.5,"1,595","19,137",44.01,54,45.62,32.2
2017/4/5,保瑞,6472.0,櫃檯買賣,初上櫃,美國標,"2,118",25,2.0,264,50.0,500.0,2017/4/19,台新,"132,084,440",4.0,"1,741","18,546",60.88,154,62.36,32.5
2017/3/7,勁豐,6577.0,櫃檯買賣,初上櫃,美國標,"4,752",46.73,2.0,594,50.0,500.0,2017/3/21,群益,"338,165,830",4.0,"1,438","20,763",68.8,82.56,71.16,52.8
2017/2/24,晶心科,6533.0,集中交易市場,初上市,美國標,"2,500",54.25,2.0,312,50.0,500.0,2017/3/14,宏遠,"266,634,540",5.0,"1,683","19,973",103.66,124,106.65,65.1
2017/1/10,欣普羅,6560.0,櫃檯買賣,初上櫃,美國標,"1,373",25.67,2.0,171,50.0,500.0,2017/1/24,日盛,"49,365,810",4.0,923,"16,701",35.44,38.01,35.95,30.8
2017/1/3,泰昇-KY,8480.0,集中交易市場,第一上市初上市,美國標,"3,400",82.31,2.0,425,50.0,500.0,2017/1/17,兆豐,"381,534,290",2.5,"1,066","12,763",110.22,124,112.22,107.0
2016/1/13,福邦證,6026.0,櫃檯買賣,初上櫃,美國標,8000.0,7.38,5.0,"1,000",60.0,500.0,2016/1/27,中國信託,76012650.0,2.5,426,"29,313",9.5,10.0,9.5,9.5
2016/3/10,精測,6510.0,櫃檯買賣,初上櫃,美國標,1896.0,300.0,3.0,236,50.0,500.0,2016/3/24,中國信託,854748380.0,2.5,"2,667","17,457",440.2,482.0,450.82,360.0
